Title,Director,Cast,Country,"Subgenre/Notes
"
The 6th Day,Roger Spottiswoode,"['Arnold Schwarzenegger', 'Tony Goldwyn', 'Michael Rapaport']",United States,Action
Amazone,Philippe de Broca,"['Jean-Paul Belmondo', 'Arielle Dombasle', 'Patrick Bouchitey']",France,Adventure
Battlefield Earth,Roger Christian,"['John Travolta', 'Barry Pepper', 'Forest Whitaker']",United States,Action
The Cell,Tarsem Singh,"['Jennifer Lopez', 'Vince Vaughn', ""Vincent D'Onofrio""]",United States,Psychological thriller
Escaflowne,Kazuki Akane,[],Japan,Action 
Godzilla vs. Megaguirus,Masaaki Tezuka,"['Misako Tanaka', 'Shosuke Tanihara', 'Masato Ibu']",Japan,Monster movie
Happy Accidents,Brad Anderson,"['Marisa Tomei', ""Vincent D'Onofrio""]",United States,Romantic
Hollow Man,Paul Verhoeven,"['Kevin Bacon', 'Elisabeth Shue', 'Josh Brolin']",United States,Action thriller
I.K.U.,Shu Lea Cheang,['Aja'],Japan,Adult film
The Last Man,Harry Ralston,"['David Arnott', 'Jeri Ryan', 'Dan Montgomery']",United States,Post apocalyptic
Mission to Mars,Brian De Palma,"['Gary Sinise', 'Tim Robbins', 'Don Cheadle']",United States,Adventure drama
Pitch Black,David N. Twohy,"['Radha Mitchell', 'Vin Diesel', 'Cole Hauser']",United States,Thriller
Possible Worlds,Robert Lepage,"['Tilda Swinton', 'Tom McCamus', 'Sean McCann']",Canada,Crime
Red Planet,Antony Hoffman,"['Val Kilmer', 'Carrie-Anne Moss', 'Benjamin Bratt', 'Tom Sizemore']",United States,Action thriller
Space Cowboys,Clint Eastwood,"['Clint Eastwood', 'Tommy Lee Jones', 'Donald Sutherland', 'James Garner']",United States,Action adventure
Supernova,Thomas Lee,"['James Spader', 'Angela Bassett', 'Robert Forster', 'Lou Diamond Phillips']",United States,Horror
Titan A.E.,Don Bluth,"['Matt Damon', ' (voice), ', 'Bill Pullman', ' (voice), ', 'John Leguizamo', ' (voice), ', 'Nathan Lane', ' (voice), ', 'Drew Barrymore', ' (voice)']",United States,Animated adventure
Unbreakable,M. Night Shyamalan,"['Bruce Willis', 'Samuel L. Jackson']",United States,Superhero
What Planet Are You From?,Mike Nichols,"['Garry Shandling', 'Annette Bening', 'Greg Kinnear']",United States,Comedy
X-Men,Bryan Singer,"['Hugh Jackman', 'Patrick Stewart', 'Ian McKellen', 'Halle Berry', 'Anna Paquin']",United States,Action
A.I. Artificial Intelligence,Steven Spielberg,"['Haley Joel Osment', 'Jude Law', ""Frances O'Connor""]",United States,[18]
Atlantis: The Lost Empire,Gary Trousdale,"['Michael J. Fox', ' (voice), ', 'James Garner', ' (voice), ', 'Leonard Nimoy', ' (voice)']",United States,[19]
Avalon,Mamoru Oshii,"['Malgorzata Foremniak', 'Wladyslaw Kowalski', 'Jerzy Gudejko']",Japan,[20]
The American Astronaut,Cory McAbee,"['Rocco Sisto', 'Annie Golden']",United States,[21]
Donnie Darko,Richard Kelly,"['Jake Gyllenhaal', 'Jena Malone', 'Drew Barrymore']",United States,Psychological thriller
Electric Dragon 80.000 V,Sogo Ishii,['Masatoshi Nagase'],Japan,[22]
Evolution,Ivan Reitman,"['David Duchovny', 'Orlando Jones', 'Seann William Scott']",United States,[23]
Final,Campbell Scott,"['Denis Leary', 'Hope Davis', 'Maureen Anderman']",United States,[24]
Final Fantasy: The Spirits Within,Hironobu Sakaguchi,[],United States,[25]
Ghosts of Mars,John Carpenter,"['Ice Cube', 'Natasha Henstridge', 'Jason Statham']",United States,[26]
"Godzilla, Mothra and King Ghidorah: Giant Monsters All-Out Attack",Shusuke Kaneko,[],Japan,[27]
Jimmy Neutron: Boy Genius,John A. Davis,[],United States,Animation
Jurassic Park III,Joe Johnston,"['Sam Neill', 'William H. Macy', 'Téa Leoni']",United States,[28]
K-PAX,Iain Softley,"['Kevin Spacey', 'Jeff Bridges', 'Mary McCormack']",United States,[29]
The Lost Skeleton of Cadavra,Larry Blamire,"['Larry Blamire', 'Fay Masterson', 'Brian Howe']",United States,[30]
Metropolis,Rintaro,[],Japan,[31]
Mind Storm,Richard Pepin,"['Antonio Sabato, Jr.', 'Emmanuelle Vaugier', 'Eric Roberts']",United States,[32]
Nabi,Moon Seung-wook,"['Kim Ho-jung', 'Kang Hye-jung', 'Jang Hyun-sung']",South Korea,[nb 4]
The One,James Wong,"['Jet Li', 'Carla Gugino', 'Delroy Lindo']",United States,[34]
