u_mag,g_mag,r_mag,i_mag,z_mag,ra,dec
19.388308,17.056925,16.096813,15.746082,15.560712,180.0148538,20.90261459
17.983265,17.071049,16.763483,16.655209,16.600836,180.0130685,24.4739784
19.171825,18.00613,17.593836,17.435181,17.363775,180.0084428,23.83174719
20.736958,18.583487,17.643984,17.305689,17.137621,180.006998,20.84820751
20.706478,19.746189,19.34816,19.217245,19.166542,180.0012797,20.79797715
19.959368,18.575682,18.020813,17.824652,17.645559,180.0004773,20.04194793
17.12776,15.96772,15.533534,15.325152,15.273359,180.0146381,24.40840124
19.661592,17.221388,16.197056,15.82595,15.621091,180.0131632,24.02739211
19.978476,19.111538,18.787729,18.734694,18.699121,180.0086045,24.63050459
19.480234,18.547823,18.255615,18.10714,18.213093,180.0079415,22.42455505
18.496416,16.855045,16.181501,15.927627,15.81366,180.0074044,24.34350764
19.962576,18.390924,17.81724,17.600716,17.520552,180.0023022,23.89224948
18.746496,17.360165,16.778864,16.580978,16.550535,180.0007339,23.31907198
20.457359,19.635748,19.440126,19.334604,19.247379,180.023224,24.7900688
20.552029,19.651587,19.349684,19.250195,19.218149,180.0145109,24.90927148
16.304045,15.284195,15.22669,15.234219,15.285147,180.0141161,23.17257919
19.645338,18.719444,18.454672,18.34421,18.318384,180.0136875,23.16071065
18.278282,17.000021,16.518259,16.379112,16.302202,180.0135443,21.84490019
19.525415,18.441532,18.060633,17.916864,17.959763,180.0358672,22.1482387
17.136086,16.083084,15.712283,15.579472,15.530803,180.013404,23.18317237
19.097708,18.045607,17.647648,17.481394,17.454515,180.0274441,24.69088096
20.738155,19.893137,19.585499,19.504436,19.48167,180.0369842,22.23642678
18.572184,16.772314,16.08531,15.854223,15.70244,180.0216594,20.01135605
20.740513,19.403397,18.901115,18.737379,18.678028,180.0219069,20.08719586
20.627325,19.62784,19.218046,19.12664,18.990906,180.0024693,23.6406424
20.564741,19.573397,19.13929,19.171524,19.251652,180.0018567,23.04417253
17.436293,16.252842,15.88832,15.773736,15.707941,180.0014644,21.21224129
17.809502,16.520369,15.991405,15.814706,15.753045,180.0013816,20.46200738
17.971619,17.003468,16.709311,16.583385,16.590746,180.0219396,21.47979058
20.690346,19.808935,19.652218,19.569471,19.565948,180.0012128,20.51325562
19.090803,17.489645,16.942097,16.866673,16.812626,180.0219816,23.46540921
20.187592,19.002613,18.54825,18.377718,18.327946,180.0637549,23.77843138
20.751698,19.691032,19.239361,19.209518,19.23127,180.0337382,23.02239903
20.292784,17.841629,16.680378,16.309654,16.097061,180.0337768,22.52802582
20.055523,17.419167,16.056576,15.500658,15.217672,180.0340753,21.70808552
20.173876,19.117001,19.004429,19.00531,19.12079,180.0144783,22.02003049
19.539598,17.068228,15.98657,15.570646,15.353695,180.0141591,21.47372002
18.106684,16.346521,15.716269,15.5277,15.511341,180.035166,22.91898852
20.53076,19.599121,19.357454,19.293533,19.351974,180.0351689,22.17547806
20.364252,19.562508,19.279076,19.158003,19.054884,180.0359687,23.09271281
19.119959,18.166002,17.787859,17.674295,17.681902,180.0362723,22.24449344
18.749784,16.548811,15.706491,15.414301,15.218222,180.0373263,20.14950523
17.915003,16.819431,16.448534,16.308208,16.253601,180.0467392,20.90798763
18.969772,18.701117,18.516573,18.34897,18.454933,180.0274656,22.14249203
18.392086,17.300634,16.969912,16.849314,16.837257,180.0468925,24.80443263
20.765694,19.786409,19.42416,19.374382,19.520597,180.0275826,22.11277349
20.753395,19.905256,19.584753,19.42823,19.320053,180.0480352,23.93047085
19.025774,17.751125,17.216335,17.071997,16.985529,180.0480574,23.43022416
19.971827,17.303028,16.230581,15.803759,15.549906,180.0285571,20.85722322
20.577198,19.676029,19.200941,19.237572,19.162933,180.0549188,23.0108799
18.047277,16.628254,16.062006,15.89889,15.818821,180.0551613,23.33358293
20.073854,18.926414,18.484673,18.317469,18.242151,180.0551977,20.53345734
20.933798,20.060274,19.669657,19.53912,19.478893,180.02907,23.51849643
20.635704,19.543549,19.264181,19.139524,19.049116,180.0640843,24.00796374
20.741951,19.471411,18.893879,18.62512,18.559437,180.0927153,23.48983442
18.228802,17.193216,16.721718,16.61079,16.563686,180.0646095,21.59890553
18.398197,17.083149,16.413288,16.189625,16.124706,180.0646909,24.54013563
19.676601,18.569801,18.071432,17.877975,17.784285,180.0931734,23.10428207
18.844618,17.116922,16.57609,16.420858,16.323565,180.0935023,23.31986039
19.733952,18.830423,18.578335,18.494028,18.403305,180.0761867,20.94238521
20.623526,19.814779,19.333633,19.226713,19.026014,180.0763237,20.59321218
19.30599,18.416832,18.143101,18.036922,18.016575,180.0771025,20.58261737
18.339355,17.21352,16.823347,16.692141,16.675579,180.0775478,22.33872562
19.972858,19.096262,18.767591,18.62038,18.580391,180.0776679,21.45735701
20.217237,19.767654,19.620575,19.317698,19.261423,180.1095416,23.30597458
20.914106,18.062346,16.585835,15.815533,15.394605,180.0842114,21.29288747
18.290182,17.242804,16.868963,16.730951,16.689575,180.1100338,24.02780321
19.862083,18.243914,17.663263,17.430336,17.344347,180.1105196,23.66148884
20.719196,19.643763,19.224745,19.054354,19.025429,180.0843123,22.81358513
20.47213,19.585941,19.367977,19.266478,19.198324,180.027798,24.97373084
20.143919,18.964783,18.471518,18.260569,18.184896,180.1216217,20.78082753
20.041513,19.163912,18.825979,18.689686,18.628132,180.0851747,22.81713231
20.681213,19.773359,19.501583,19.483425,19.368975,180.0856533,22.60793602
20.063019,17.490683,16.422115,15.969679,16.420696,180.0633039,20.93083803
20.876551,18.411558,17.281155,16.827814,16.589714,180.0633688,20.9892703
